Delta fr 0°	Delta fr err 0°	Delta n_s 0°	Delta n_s 0° err	Delta fr 45°	Delta fr err 45°	Delta n_s 45°	Delta n_s 45° err	Delta fr 90°	Delta fr err 90°	Delta n_s 90°	Delta n_s 90° err	Delta fr 135°	Delta fr err 135°	Delta n_s 135°	Delta n_s 135° err	fields 0°	fields 45°	fields 90°	fields 135°			
-0.00354116864535294	2.84875192948543E-5	-0.00897999672164963	7.20590538538496E-5	-0.00875044038204681	4.40721616260617E-5	-0.0220703532268033	1.10179576067066E-4	-0.00989441866552709	3.78996833193874E-5	-0.0249251626880068	9.46637085164778E-5	-0.00956292854093922	3.60784937545208E-5	-0.0240984845586439	9.00505532186404E-5	0.35	0.33	0.35	0.425			
-0.00386312690603165	2.80636850190024E-5	-0.00979315644990912	7.09495537160369E-5	-0.00873236988131338	6.16121274178674E-5	-0.0220251898247055	1.54012672195462E-4	-0.010217413891795	2.78212568590978E-5	-0.0257301851434251	6.95588772901971E-5	-0.00964305808545365	3.37631948516205E-5	-0.0242983859801548	8.42628176311507E-5	0.37	0.34	0.37	0.45			
-0.00427422700075657	2.82400192556214E-5	-0.0108306645886379	7.13427408790602E-5	-0.00881090492191311	5.73507876522497E-5	-0.0222214592101044	1.43340629999951E-4	-0.0102633285681222	4.60714696703197E-5	-0.0258445773627674	1.149239530615E-4	-0.0099230506179694	2.12068038236551E-5	-0.0249966291442458	5.29351342068451E-5	0.39	0.35	0.39	0.475			
-0.00462731246522635	2.57990622566699E-5	-0.0117210485722159	6.51559399476593E-5	-0.0085606052103303	4.50950247824955E-5	-0.0215958153247632	1.12779169132826E-4	-0.0104709726044392	4.05761036741385E-5	-0.0263617668647605	1.01212713979717E-4	-0.0101439762687729	5.01216703951621E-5	-0.0255472843024822	1.24927238559807E-4	0.41	0.35	0.41	0.5			
-0.00501751175390068	2.62217473337299E-5	-0.0127042603221263	6.61755453746359E-5	-0.00888285884385184	5.70781653329455E-5	-0.0224012533091606	1.42638291706168E-4	-0.0105131290176433	4.83108370593531E-5	-0.026466740652584	1.20436697543755E-4	-0.0104011182215422	2.42295994613438E-5	-0.0261878891078665	6.04055128444452E-5	0.43	0.36	0.43	0.525			
-0.00548309008059652	2.66219841846766E-5	-0.0138763625469983	6.71281327767808E-5	-0.00895543091906202	4.06401234244138E-5	-0.0225825646958339	1.01562232427286E-4	-0.0108047254589424	4.64088402933395E-5	-0.0271925932696807	1.15640346185445E-4	-0.010584296537267	3.29041838130123E-5	-0.0266440227355391	8.19640180008533E-5	0.45	0.37	0.45	0.55			
-0.00601578857545797	2.39602388199192E-5	-0.0152160448992894	6.03934798472551E-5	-0.00898699238159571	5.44941225093774E-5	-0.0226614081272653	1.36153883447762E-4	-0.0109693387461482	3.29220301527964E-5	-0.0276021600510196	8.2116177395786E-5	-0.0110301626184575	2.76644702346141E-5	-0.0277535497813868	6.88657069979886E-5	0.47	0.375	0.47	0.575			
-0.00659308162591899	2.31355181579765E-5	-0.0166661977670524	5.82728961776598E-5	-0.00903153917428182	4.23898327378694E-5	-0.0227726812781585	1.05915302417575E-4	-0.0110410334339355	3.02851999180136E-5	-0.0277804964182808	7.55659095852743E-5	-0.0112150144351968	2.77043046918725E-5	-0.0282132469726777	6.89390588472206E-5	0.49	0.38	0.49	0.6			
-0.00719882174901701	2.31981982651107E-5	-0.0181859328494318	5.83731888198951E-5	-0.00914017493967164	4.65725167610307E-5	-0.0230439985451004	1.1633360794268E-4	-0.011235564515062	5.40788340991691E-5	-0.0282642470157247	1.3458957063527E-4					0.51	0.39	0.51				
-0.00780544535174934	2.34621350702393E-5	-0.0197059614387595	5.89749798988032E-5	-0.00917542154203738	3.03083620334091E-5	-0.0231320135532802	7.57304325939409E-5	-0.0114419353573196	4.41437976054445E-5	-0.0287772259285111	1.09874943022664E-4					0.53	0.4	0.53				
-0.00844967476726084	2.32658125200609E-5	-0.0213181156756336	5.84248379226988E-5	-0.00921887010812226	5.83793409654542E-5	-0.0232405009533755	1.45787549011912E-4	-0.0115995240775612	5.3073600891519E-5	-0.0291687979783041	1.31997156374953E-4					0.55	0.4	0.55				
				-0.00928506706458202	2.53532578112415E-5	-0.0234057702753652	6.33532899515377E-5										0.41					
				-0.00946536702173988	3.05592542277994E-5	-0.0238557969709532	7.63118963022457E-5										0.425					
				-0.00970006924008186	4.5015196952408E-5	-0.0244413577991726	1.12316601869981E-4										0.45					
				-0.00986202866293511	4.19589904010178E-5	-0.0248452649282396	1.04661354633404E-4										0.475					
				-0.0100281752498488	5.55693303149186E-5	-0.0252594726935337	1.38541259291281E-4										0.5					
				-0.0104716651941045	3.63117211582087E-5	-0.0263644026052191	9.04737591896181E-5										0.525					
				-0.010531649083509	3.67411404146039E-5	-0.0265137706667604	9.15314083370774E-5										0.55					
				-0.0106137548027305	5.16294684619562E-5	-0.0267181948364846	1.28567857383078E-4										0.575					
				-0.0111164007356544	3.21403231630012E-5	-0.0279689043841512	7.99875174682261E-5										0.6					
